id,data,valor
687,10/8/2020,129
688,10/15/2021,1116
689,3/17/2020,1372
690,10/1/2021,1159
691,,1065
692,3/15/2021,572
693,9/23/2019,-423
694,7/21/2020,207
695,5/18/2021,1432
696,7/3/2021,867
697,3/12/2020,1179
698,8/27/2020,-35
699,6/24/2021,583
700,2/27/2020,967
701,4/13/2021,1048
702,11/5/2021,1350
703,7/29/2021,-299
704,12/10/2020,838
705,4/22/2021,-62
706,4/3/2021,1093
707,9/5/2021,102
708,8/23/2020,65
709,5/21/2021,1373
710,12/18/2020,353
711,2/16/2021,
712,3/17/2021,1134
713,7/24/2020,533
714,12/30/2019,231
715,12/17/2019,69
716,12/15/2019,-81
717,8/28/2021,8
718,8/26/2019,1248
719,10/30/2019,175
720,12/26/2020,
721,11/20/2019,272
722,1/29/2021,-157
723,12/15/2020,-490
724,7/13/2021,659
725,7/16/2021,1093
726,2/25/2020,-423
727,11/11/2019,685
728,6/14/2021,825
729,8/26/2021,513
730,10/7/2020,729
731,11/22/2019,-126
732,7/20/2021,500
733,10/22/2021,-393
734,7/17/2020,107
735,9/9/2020,-264
736,6/16/2021,124
737,9/22/2020,1485
738,1/4/2020,-296
739,10/13/2019,-36
740,11/15/2021,-362
741,5/7/2020,1305
742,9/5/2020,1062
743,2/7/2021,-338
744,3/11/2021,
745,6/4/2021,-330
746,4/1/2020,717
747,10/26/2020,1245
748,5/16/2020,938
749,7/20/2020,1401
750,8/16/2021,1335
751,3/22/2021,225
752,10/19/2020,
753,9/9/2021,474
754,1/27/2020,107
755,5/11/2020,-320
756,11/3/2021,-25
757,3/6/2021,957
758,9/4/2020,838
759,7/21/2020,620
760,12/29/2019,425
761,7/31/2020,702
762,8/9/2020,-81
763,10/10/2019,967
764,10/7/2020,264
765,1/14/2020,1440
766,2/8/2021,640
767,8/28/2020,1089
768,10/27/2019,580
769,2/9/2020,347
770,2/1/2020,204
771,6/16/2021,749
772,5/29/2021,326
773,9/6/2021,1190
774,7/10/2020,528
775,6/23/2021,1236
776,1/27/2021,228
777,6/18/2020,539
778,10/26/2021,1217
779,4/22/2021,-156
780,8/23/2019,1161
781,5/27/2021,-456
782,8/19/2021,607
783,9/12/2019,1094
784,1/31/2020,83
785,9/27/2019,775
786,11/2/2019,566
787,2/13/2020,622
788,7/2/2021,712
789,,-296
790,9/9/2019,912
791,12/5/2020,-180
792,10/12/2019,303
793,4/29/2021,-298
794,6/6/2020,291
795,10/3/2021,-421
796,12/13/2019,1491
797,5/30/2021,942
798,2/27/2021,1189
799,11/24/2020,1428
800,9/12/2021,73
801,1/28/2021,1151
802,4/7/2021,-39
803,12/27/2019,177
804,5/4/2021,390
805,10/8/2021,1083
806,2/21/2021,1270
807,12/19/2020,649
808,,793
809,2/25/2021,50
810,1/15/2020,337
811,12/10/2020,-324
812,1/7/2021,-87
813,8/16/2019,1131
814,2/18/2021,-102
815,4/20/2020,154
816,7/31/2020,134
817,10/19/2020,-460
818,3/20/2020,1308
819,6/14/2020,358
820,10/31/2020,585
821,9/6/2019,-331
822,,83
823,,60
824,9/25/2021,1139
825,11/30/2019,169
826,8/25/2021,1272
827,3/6/2020,-123
828,7/19/2021,
829,11/18/2021,
830,12/14/2019,647
831,1/2/2021,601
832,3/21/2020,1294
833,4/23/2020,
834,7/2/2021,898
835,3/23/2021,839
836,1/24/2020,-336
837,6/14/2020,956
838,1/29/2020,395
839,3/24/2020,-357
840,4/8/2021,-5
841,8/4/2021,1377
842,2/1/2020,-315
843,5/8/2020,-439
844,8/25/2021,827
845,12/6/2019,-226
846,9/28/2020,255
847,8/24/2020,-15
848,7/20/2020,1199
849,3/15/2020,61
850,8/30/2019,365
851,2/27/2021,519
852,4/21/2021,-111
853,11/5/2021,626
854,7/28/2020,534
855,10/19/2019,673
856,9/2/2021,1441
857,10/14/2019,195
858,11/24/2019,1337
859,4/24/2021,-483
860,,821
861,5/4/2020,196
862,1/9/2020,1197
863,11/7/2021,-353
864,12/16/2020,616
865,12/18/2020,298
866,2/7/2021,32
867,10/24/2021,324
868,11/23/2020,650
869,12/25/2019,726
870,11/22/2019,373
871,4/28/2020,76
872,12/18/2020,-89
873,7/31/2021,1053
874,12/12/2019,638
875,4/8/2020,678
876,10/16/2019,870
877,5/15/2020,838
878,1/16/2020,813
879,9/18/2019,1225
880,8/27/2019,-433
881,6/20/2021,449
882,5/6/2021,-263
883,12/11/2020,310
884,11/15/2019,596
885,3/8/2021,494
886,11/18/2020,413
887,11/24/2021,-161
888,12/24/2019,1039
889,12/28/2019,1311
890,1/18/2021,999
891,9/10/2019,-211
892,2/1/2021,1118
893,7/2/2021,748
894,5/22/2021,21
895,12/31/2019,465
896,7/13/2020,44
897,10/23/2019,-489
898,11/15/2021,238
899,1/28/2021,545
900,12/28/2020,64
901,12/11/2020,746
902,7/12/2021,-280
903,7/3/2021,818
904,10/21/2021,1235
905,4/12/2020,1179
906,3/15/2020,920
907,1/30/2020,
908,6/12/2020,
909,2/12/2021,-443
910,,568
911,5/2/2021,920
912,3/24/2021,23
913,10/7/2020,816
914,11/13/2019,824
915,9/2/2019,1006
916,9/13/2020,-180
917,9/19/2020,-122
918,9/29/2019,1408
919,9/19/2021,-394
920,2/23/2020,464
921,1/30/2021,578
922,12/30/2019,352
923,10/1/2020,-34
924,5/10/2020,-23
925,1/6/2021,186
926,5/20/2020,1026
927,8/13/2019,354
928,1/12/2021,521
929,9/1/2020,-200
930,8/16/2019,-500
931,5/16/2021,1119
932,10/30/2021,22
933,9/27/2019,824
934,9/5/2021,846
935,11/28/2019,1044
936,1/18/2021,461
937,5/5/2020,-460
938,8/20/2019,862
939,1/9/2020,
940,3/26/2021,609
941,4/26/2021,1214
942,4/2/2020,1063
943,7/24/2021,1303
944,2/21/2020,946
945,11/11/2020,664
946,8/3/2021,741
947,8/25/2021,-73
948,9/14/2021,
949,3/6/2021,652
950,7/13/2021,1397
951,1/22/2020,1413
952,4/16/2021,-35
953,5/6/2020,-403
954,5/22/2021,-311
955,4/29/2021,693
956,8/17/2020,1233
957,6/11/2020,-290
958,10/11/2019,428
959,3/11/2020,358
960,9/13/2019,-277
961,6/15/2021,62
962,8/18/2019,1416
963,3/25/2020,287
964,3/1/2021,-315
965,1/14/2021,723
966,7/13/2021,590
967,10/30/2020,-486
968,11/22/2020,
969,6/24/2020,538
970,9/28/2021,609
971,2/22/2021,254
972,5/2/2020,1181
973,5/7/2020,498
974,4/14/2020,811
975,5/8/2020,-488
976,7/23/2021,173
977,6/12/2020,1024
978,5/22/2020,392
979,,834
980,7/16/2020,245
981,12/5/2020,500
982,1/16/2020,-52
983,10/24/2021,-161
984,4/20/2020,-377
985,4/3/2021,605
986,7/11/2021,-5
987,,771
988,9/11/2021,292
989,12/21/2020,486
990,7/25/2020,1158
991,8/10/2020,1455
992,3/11/2020,466
993,10/29/2021,502
994,9/2/2019,1178
995,9/11/2020,895
996,7/28/2021,-180
997,9/5/2021,354
998,6/11/2021,-201
999,4/1/2021,287
1000,4/19/2020,61
